date,gz_spr,baa_aaa,cp_treas1mo,dd_wp25,dd_wp50,dd_wp75,dd_wp50_all,gz_spr_p,gz_spr_oa_p,ebp,xmktret,cds1yr_bd_avg,cds5yr_bd_avg,sp500vix,xret_bd,termspr,ffr_r,empl,uerate,ipm
MAR1982,1.4508,2.2400,1.0800,3.3299,5.0556,8.3827,4.6748,0.6176,1.8926,0.8331,,,,,,-0.0583,10.0131,74398.00,9.0000,42.4476
APR1982,1.3661,2.3200,1.7400,3.4647,4.8917,9.1683,4.8453,0.7263,1.4708,0.6397,,,,,,-0.6508,8.6165,74131.00,9.3000,42.1717
MAY1982,1.2795,2.3800,1.6300,3.3798,5.3860,9.1165,4.9465,0.6300,1.6669,0.6495,,,,,,-1.5194,6.9537,74093.00,9.4000,42.1022
JUN1982,1.3044,2.1100,2.1700,3.3350,5.0332,8.7714,4.7574,0.7370,1.4677,0.5674,,,,,,-0.8281,8.2938,73837.00,9.6000,42.0347
JUL1982,1.3854,2.1900,2.0600,3.1263,5.0067,8.1322,4.5526,0.8175,1.4184,0.5679,,,,,,-2.9345,5.1194,73620.00,9.8000,41.9858
AUG1982,1.5887,2.6100,3.0700,3.8759,5.6898,8.6168,5.1063,1.7053,1.1684,-0.1166,,,,,,-3.8094,4.2981,73422.00,9.8000,41.6209
SEP1982,1.4429,2.6900,2.8500,3.6297,5.6328,8.4569,5.1843,0.9839,1.1397,0.4590,,,,,,-3.9897,6.0430,73248.00,10.1000,41.5015
OCT1982,1.5719,2.6100,0.9900,4.5722,6.7174,8.9511,5.9044,1.4501,0.9807,0.1218,,,,,,-2.7047,3.5603,72938.00,10.4000,41.0221
NOV1982,1.4011,2.6200,0.7900,4.0084,6.5262,8.7196,5.7967,0.9086,1.1291,0.4925,,,,,,-2.4278,3.0408,72793.00,10.8000,40.7390
DEC1982,1.3996,2.3100,0.3400,4.4840,6.2055,8.7063,5.8908,0.7274,1.3613,0.6722,,,,,,-2.4553,5.5074,72775.00,10.8000,40.5792
